[2024-12-18 04:04:41 +0700] [30583] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:41 +0700] [30583] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:42 +0700] [30583] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:04:43 +0700] [30619] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:04:43 +0700] [30619] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:43 +0700] [30619] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:44 +0700] [30619] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:44 +0700] [30619] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:45 +0700] [30619] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:45 +0700] [30619] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:46 +0700] [30619] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:46 +0700] [30619] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:47 +0700] [30619] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:47 +0700] [30619] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:48 +0700] [30619] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:04:49 +0700] [30626] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:04:49 +0700] [30626] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:49 +0700] [30626] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:50 +0700] [30626] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:50 +0700] [30626] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:51 +0700] [30626] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:51 +0700] [30626] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:52 +0700] [30626] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:52 +0700] [30626] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:53 +0700] [30626] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:53 +0700] [30626] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:54 +0700] [30626] [ERROR] Can't connect to ('0.0.0.0', 8000)
[2024-12-18 04:04:56 +0700] [30634] [INFO] Starting gunicorn 23.0.0
[2024-12-18 04:04:56 +0700] [30634] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:56 +0700] [30634] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
[2024-12-18 04:04:57 +0700] [30634] [ERROR] Connection in use: ('0.0.0.0', 8000)
[2024-12-18 04:04:57 +0700] [30634] [ERROR] connection to ('0.0.0.0', 8000) failed: [Errno 98] Address already in use
